Group,Bit,Name,Value
0,0,INT_SOF_A,0x00
0,1,INT_SOL_A,0x01
0,2,,
0,3,,
0,4,INT_KBD_A2560K,0x11
0,5,INT_KBD_PS2,0x10
0,6,INT_MOUSE,0x12
0,7,INT_COM1,0x13
0,8,INT_RTC,0x1f
1,0,,
1,1,,
1,2,,
1,3,,
1,4,,
1,5,,
1,6,,
1,7,,
1,8,INT_SDC_INS,0x21
1,9,INT_TIMER0,0x18
1,10,INT_TIMER1,0x19
1,11,INT_TIMER2,0x1a
1,12,INT_TIMER3,0x1b
1,13,INT_VIA0,0x1d
1,14,INT_VIA1,0x1e
1,15,,
2,0,,
2,1,,
2,2,INT_EXPANSION,0x06
2,3,,
2,4,,
2,5,,
2,6,,
2,7,,
2,8,,
2,9,,
2,10,INT_OPL3,0x25
2,11,INT_OPN2,0x24
2,12,INT_OPM,0x23
2,13,,
2,14,INT_DAC0_PB,0x2f
2,15,INT_DAC1_PB,0x2d
